Home Team Initials,Away Team Initials,weight,HomeGoalTotal
ARG,JAM,1,111
USA,IRN,1,19
COL,TUN,1,11
ROU,ENG,1,15
CHI,CMR,1,25
SCO,MAR,1,11
BRA,NOR,1,180
FRA,DEN,1,68
RSA,KSA,1,7
ESP,BUL,1,50
NGA,PAR,1,12
NED,MEX,3,51
GER,IRN,1,69
USA,YUG,1,19
JPN,JAM,1,7
ARG,CRO,1,111
ROU,TUN,1,15
COL,ENG,1,11
NGA,DEN,1,12
GER,MEX,1,69
NED,YUG,1,51
ROU,CRO,1,15
BRA,DEN,1,180
GER,CRO,1,69
BRA,NED,3,180
FRA,CRO,1,68
NED,CRO,1,51
FRA,SEN,1,68
URU,DEN,1,62
IRL,CMR,1,2
GER,KSA,1,69
PAR,RSA,1,14
ENG,SWE,1,54
ESP,SVN,1,50
BRA,TUR,2,180
ITA,ECU,1,99
CRO,MEX,2,3
CHN,CRC,1,0
JPN,BEL,1,7
KOR,POL,1,18
RUS,TUN,1,9
USA,POR,2,19
GER,IRL,1,69
DEN,SEN,1,13
CMR,KSA,1,11
FRA,URU,1,68
SWE,NGA,1,53
RSA,SVN,1,7
BRA,CHN,1,180
ITA,CRO,1,99
CRC,TUR,1,7
JPN,RUS,1,7
MEX,ECU,1,22
KOR,USA,1,18
POR,POL,1,36
TUN,BEL,1,6
DEN,FRA,1,13
SEN,URU,1,3
KSA,IRL,1,3
CMR,GER,1,11
NGA,ENG,1,12
SVN,PAR,1,3
RSA,ESP,1,7
CRC,BRA,1,7
TUR,CHN,1,10
ECU,CRO,1,4
MEX,ITA,1,22
TUN,JPN,1,6
POR,KOR,1,36
POL,USA,1,27
BEL,RUS,2,27
DEN,ENG,1,13
GER,PAR,1,69
ESP,IRL,1,50
SWE,SEN,1,53
BRA,BEL,1,180
MEX,USA,1,22
JPN,TUR,1,7
ENG,BRA,1,54
SEN,TUR,1,3
KOR,TUR,1,18
GER,BRA,1,69
GER,CRC,1,69
POL,ECU,1,27
TRI,SWE,1,0
ARG,CIV,1,111
SCG,NED,1,0
MEX,IRN,1,22
ANG,POR,1,0
AUS,JPN,1,7
USA,CZE,1,19
ITA,GHA,1,99
KOR,TOG,1,18
FRA,SUI,1,68
BRA,CRO,2,180
ESP,UKR,1,50
TUN,KSA,1,6
GER,POL,1,69
ECU,CRC,1,4
ENG,TRI,1,54
ARG,SCG,1,111
NED,CIV,1,51
MEX,ANG,1,22
POR,IRN,1,36
CZE,GHA,1,0
BRA,AUS,1,180
FRA,KOR,1,68
TOG,SUI,1,0
KSA,UKR,1,3
ESP,TUN,1,50
ECU,GER,1,4
CRC,POL,1,7
SWE,ENG,1,53
PAR,TRI,1,14
IRN,ANG,1,1
POR,MEX,1,36
CIV,SCG,1,5
CZE,ITA,1,0
GHA,USA,2,4
JPN,BRA,1,7
CRO,AUS,1,3
UKR,TUN,1,1
KSA,ESP,1,3
TOG,FRA,1,0
SUI,KOR,1,22
ENG,ECU,1,54
POR,NED,1,36
ITA,AUS,1,99
SUI,UKR,1,22
BRA,GHA,1,180
ESP,FRA,1,50
GER,ARG,3,69
ITA,UKR,1,99
GER,ITA,1,69
POR,FRA,1,36
GER,POR,2,69
RSA,MEX,1,7
KOR,GRE,1,18
ENG,USA,1,54
ALG,SVN,1,5
SRB,GHA,1,0
GER,AUS,1,69
NED,DEN,1,51
JPN,CMR,1,7
NZL,SVK,1,1
CIV,POR,1,5
BRA,PRK,1,180
HON,CHI,1,2
RSA,URU,1,7
GER,SRB,1,69
SVN,USA,1,3
ENG,ALG,1,54
NED,JPN,1,51
GHA,AUS,1,4
CMR,DEN,1,11
SVK,PAR,1,3
ITA,NZL,1,99
BRA,CIV,1,180
MEX,URU,1,22
NGA,KOR,1,12
GRE,ARG,1,4
SVN,ENG,1,3
USA,ALG,1,19
GHA,GER,1,4
AUS,SRB,1,7
SVK,ITA,1,3
PAR,NZL,1,14
DEN,JPN,1,13
CMR,NED,1,11
PRK,CIV,1,2
CHI,ESP,1,25
SUI,HON,1,22
URU,KOR,1,62
USA,GHA,1,19
GER,ENG,1,69
NED,SVK,1,51
PAR,JPN,1,14
ESP,POR,1,50
URU,GHA,1,62
ARG,GER,1,111
PAR,ESP,1,14
URU,GER,1,62
NED,ESP,1,51
MEX,CMR,1,22
ESP,NED,1,50
CHI,AUS,1,25
COL,GRE,1,11
URU,CRC,1,62
ENG,ITA,1,54
CIV,JPN,1,5
SUI,ECU,1,22
FRA,HON,1,68
ARG,BIH,1,111
IRN,NGA,1,1
BEL,ALG,1,27
RUS,KOR,1,9
AUS,NED,1,7
CMR,CRO,1,11
COL,CIV,1,11
JPN,GRE,1,7
ITA,CRC,1,99
SUI,FRA,1,22
HON,ECU,1,2
ARG,IRN,1,111
GER,GHA,1,69
NGA,BIH,1,12
KOR,ALG,1,18
AUS,ESP,1,7
NED,CHI,1,51
CMR,BRA,1,11
CRC,ENG,1,7
JPN,COL,1,7
GRE,CIV,1,4
NGA,ARG,1,12
BIH,IRN,1,3
HON,SUI,1,2
ECU,FRA,1,4
USA,GER,1,19
POR,GHA,1,36
KOR,BEL,1,18
ALG,RUS,1,5
COL,URU,2,11
FRA,NGA,2,68
GER,ALG,2,69
BRA,COL,2,180
FRA,GER,2,68
BRA,GER,2,180
NED,CRC,2,51
CRC,GRE,2,7
BEL,USA,2,27
